"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"R62";"R62";"Lack of expected normal physiol dev in childhood and adults";"R62 Lack of expected normal physiol dev in childhood and adults"
"R63";"R63";"Symptoms and signs concerning food and fluid intake";"R63 Symptoms and signs concerning food and fluid intake"
"R64";"R64";"Cachexia";"R64 Cachexia"
"R65";"R65";"Symp and signs specifically assoc w sys inflam and infct";"R65 Symp and signs specifically assoc w sys inflam and infct"
"R68";"R68";"Other general symptoms and signs";"R68 Other general symptoms and signs"
"R69";"R69";"Illness, unspecified";"R69 Illness, unspecified"
"R70";"R70";"Elev erythro sedim and abnormality of plasma viscosity";"R70 Elev erythro sedim and abnormality of plasma viscosity"
"R71";"R71";"Abnormality of red blood cells";"R71 Abnormality of red blood cells"
"R73";"R73";"Elevated blood glucose level";"R73 Elevated blood glucose level"
"R74";"R74";"Abnormal serum enzyme levels";"R74 Abnormal serum enzyme levels"
"R75";"R75";"Inconclusive laboratory evidence of human immunodef virus";"R75 Inconclusive laboratory evidence of human immunodef virus"
"R76";"R76";"Other abnormal immunological findings in serum";"R76 Other abnormal immunological findings in serum"
"R77";"R77";"Other abnormalities of plasma proteins";"R77 Other abnormalities of plasma proteins"
"R78";"R78";"Find of drugs and oth substnc, not normally found in blood";"R78 Find of drugs and oth substnc, not normally found in blood"
"R79";"R79";"Other abnormal findings of blood chemistry";"R79 Other abnormal findings of blood chemistry"
"R80";"R80";"Proteinuria";"R80 Proteinuria"
"R81";"R81";"Glycosuria";"R81 Glycosuria"
"R82";"R82";"Other and unspecified abnormal findings in urine";"R82 Other and unspecified abnormal findings in urine"
"R83";"R83";"Abnormal findings in cerebrospinal fluid";"R83 Abnormal findings in cerebrospinal fluid"
"R84";"R84";"Abnormal findings in specimens from resp org/thrx";"R84 Abnormal findings in specimens from resp org/thrx"
"R85";"R85";"Abnormal findings in specimens from dgstv org/abd cav";"R85 Abnormal findings in specimens from dgstv org/abd cav"
"R86";"R86";"Abnormal findings in specimens from male genital organs";"R86 Abnormal findings in specimens from male genital organs"
"R87";"R87";"Abnormal findings in specimens from female genital organs";"R87 Abnormal findings in specimens from female genital organs"
"R88";"R88";"Abnormal findings in other body fluids and substances";"R88 Abnormal findings in other body fluids and substances"
"R89";"R89";"Abnormal findings in specimens from oth org/tiss";"R89 Abnormal findings in specimens from oth org/tiss"
"R90";"R90";"Abnormal findings on diagnostic imaging of cnsl";"R90 Abnormal findings on diagnostic imaging of cnsl"
"R91";"R91";"Abnormal findings on diagnostic imaging of lung";"R91 Abnormal findings on diagnostic imaging of lung"
"R92";"R92";"Abnormal and inconclusive findings on dx imaging of breast";"R92 Abnormal and inconclusive findings on dx imaging of breast"
"R93";"R93";"Abnormal findings on diagnostic imaging of body structures";"R93 Abnormal findings on diagnostic imaging of body structures"
"R94";"R94";"Abnormal results of function studies";"R94 Abnormal results of function studies"
"R97";"R97";"Abnormal tumor markers";"R97 Abnormal tumor markers"
"R99";"R99";"Ill-defined and unknown cause of mortality";"R99 Ill-defined and unknown cause of mortality"
"S00";"S00";"Superficial injury of head";"S00 Superficial injury of head"
"S01";"S01";"Open wound of head";"S01 Open wound of head"
"S02";"S02";"Fracture of skull and facial bones";"S02 Fracture of skull and facial bones"
"S03";"S03";"Dislocation and sprain of joints and ligaments of head";"S03 Dislocation and sprain of joints and ligaments of head"
"S04";"S04";"Injury of cranial nerve";"S04 Injury of cranial nerve"
"S05";"S05";"Injury of eye and orbit";"S05 Injury of eye and orbit"
"S06";"S06";"Intracranial injury";"S06 Intracranial injury"
"S07";"S07";"Crushing injury of head";"S07 Crushing injury of head"
"S08";"S08";"Avulsion and traumatic amputation of part of head";"S08 Avulsion and traumatic amputation of part of head"
"S09";"S09";"Other and unspecified injuries of head";"S09 Other and unspecified injuries of head"
"S10";"S10";"Superficial injury of neck";"S10 Superficial injury of neck"
"S11";"S11";"Open wound of neck";"S11 Open wound of neck"
"S12";"S12";"Fracture of cervical vertebra and other parts of neck";"S12 Fracture of cervical vertebra and other parts of neck"
"S13";"S13";"Dislocation and sprain of joints and ligaments at neck level";"S13 Dislocation and sprain of joints and ligaments at neck level"
"S14";"S14";"Injury of nerves and spinal cord at neck level";"S14 Injury of nerves and spinal cord at neck level"
"S15";"S15";"Injury of blood vessels at neck level";"S15 Injury of blood vessels at neck level"
"S16";"S16";"Injury of muscle, fascia and tendon at neck level";"S16 Injury of muscle, fascia and tendon at neck level"
"S17";"S17";"Crushing injury of neck";"S17 Crushing injury of neck"
"S19";"S19";"Other specified and unspecified injuries of neck";"S19 Other specified and unspecified injuries of neck"
"S20";"S20";"Superficial injury of thorax";"S20 Superficial injury of thorax"
"S21";"S21";"Open wound of thorax";"S21 Open wound of thorax"
"S22";"S22";"Fracture of rib(s), sternum and thoracic spine";"S22 Fracture of rib(s), sternum and thoracic spine"
"S23";"S23";"Dislocation and sprain of joints and ligaments of thorax";"S23 Dislocation and sprain of joints and ligaments of thorax"
"S24";"S24";"Injury of nerves and spinal cord at thorax level";"S24 Injury of nerves and spinal cord at thorax level"
"S25";"S25";"Injury of blood vessels of thorax";"S25 Injury of blood vessels of thorax"
"S26";"S26";"Injury of heart";"S26 Injury of heart"
"S27";"S27";"Injury of other and unspecified intrathoracic organs";"S27 Injury of other and unspecified intrathoracic organs"
"S28";"S28";"Crushing inj thorax, and traumatic amp of part of thorax";"S28 Crushing inj thorax, and traumatic amp of part of thorax"
"S29";"S29";"Other and unspecified injuries of thorax";"S29 Other and unspecified injuries of thorax"
"S30";"S30";"Superfic inj abdomen, low back, pelvis and external genitals";"S30 Superfic inj abdomen, low back, pelvis and external genitals"
"S31";"S31";"Opn wnd abdomen, lower back, pelvis and external genitals";"S31 Opn wnd abdomen, lower back, pelvis and external genitals"
"S32";"S32";"Fracture of lumbar spine and pelvis";"S32 Fracture of lumbar spine and pelvis"
"S33";"S33";"Disloc & sprain of joints & ligaments of lumbar spin & pelv";"S33 Disloc & sprain of joints & ligaments of lumbar spin & pelv"
"S34";"S34";"Inj lower spinl cord and nrv at abd, low back and pelv level";"S34 Inj lower spinl cord and nrv at abd, low back and pelv level"
"S35";"S35";"Inj blood vessels at abdomen, low back and pelvis level";"S35 Inj blood vessels at abdomen, low back and pelvis level"
"S36";"S36";"Injury of intra-abdominal organs";"S36 Injury of intra-abdominal organs"
"S37";"S37";"Injury of urinary and pelvic organs";"S37 Injury of urinary and pelvic organs"
"S38";"S38";"Crush inj & traum amp of abd,low back, pelv & extrn genitals";"S38 Crush inj & traum amp of abd,low back, pelv & extrn genitals"
"S39";"S39";"Oth & unsp injuries of abd, low back, pelv & extrn genitals";"S39 Oth & unsp injuries of abd, low back, pelv & extrn genitals"
"S40";"S40";"Superficial injury of shoulder and upper arm";"S40 Superficial injury of shoulder and upper arm"
"S41";"S41";"Open wound of shoulder and upper arm";"S41 Open wound of shoulder and upper arm"
"S42";"S42";"Fracture of shoulder and upper arm";"S42 Fracture of shoulder and upper arm"
"S43";"S43";"Disloc and sprain of joints and ligaments of shoulder girdle";"S43 Disloc and sprain of joints and ligaments of shoulder girdle"
"S44";"S44";"Injury of nerves at shoulder and upper arm level";"S44 Injury of nerves at shoulder and upper arm level"
"S45";"S45";"Injury of blood vessels at shoulder and upper arm level";"S45 Injury of blood vessels at shoulder and upper arm level"
"S46";"S46";"Injury of muscle, fascia and tendon at shldr/up arm";"S46 Injury of muscle, fascia and tendon at shldr/up arm"
"S47";"S47";"Crushing injury of shoulder and upper arm";"S47 Crushing injury of shoulder and upper arm"
"S48";"S48";"Traumatic amputation of shoulder and upper arm";"S48 Traumatic amputation of shoulder and upper arm"
"S49";"S49";"Other and unspecified injuries of shoulder and upper arm";"S49 Other and unspecified injuries of shoulder and upper arm"
"S50";"S50";"Superficial injury of elbow and forearm";"S50 Superficial injury of elbow and forearm"
"S51";"S51";"Open wound of elbow and forearm";"S51 Open wound of elbow and forearm"
"S52";"S52";"Fracture of forearm";"S52 Fracture of forearm"
"S53";"S53";"Dislocation and sprain of joints and ligaments of elbow";"S53 Dislocation and sprain of joints and ligaments of elbow"
"S54";"S54";"Injury of nerves at forearm level";"S54 Injury of nerves at forearm level"
"S55";"S55";"Injury of blood vessels at forearm level";"S55 Injury of blood vessels at forearm level"
"S56";"S56";"Injury of muscle, fascia and tendon at forearm level";"S56 Injury of muscle, fascia and tendon at forearm level"
"S57";"S57";"Crushing injury of elbow and forearm";"S57 Crushing injury of elbow and forearm"
"S58";"S58";"Traumatic amputation of elbow and forearm";"S58 Traumatic amputation of elbow and forearm"
"S59";"S59";"Other and unspecified injuries of elbow and forearm";"S59 Other and unspecified injuries of elbow and forearm"
"S60";"S60";"Superficial injury of wrist, hand and fingers";"S60 Superficial injury of wrist, hand and fingers"
"S61";"S61";"Open wound of wrist, hand and fingers";"S61 Open wound of wrist, hand and fingers"
"S62";"S62";"Fracture at wrist and hand level";"S62 Fracture at wrist and hand level"
"S63";"S63";"Dislocation and sprain of joints and ligaments at wrs/hnd lv";"S63 Dislocation and sprain of joints and ligaments at wrs/hnd lv"
"S64";"S64";"Injury of nerves at wrist and hand level";"S64 Injury of nerves at wrist and hand level"
"S65";"S65";"Injury of blood vessels at wrist and hand level";"S65 Injury of blood vessels at wrist and hand level"
"S66";"S66";"Injury of muscle, fascia and tendon at wrist and hand level";"S66 Injury of muscle, fascia and tendon at wrist and hand level"
"S67";"S67";"Crushing injury of wrist, hand and fingers";"S67 Crushing injury of wrist, hand and fingers"
"S68";"S68";"Traumatic amputation of wrist, hand and fingers";"S68 Traumatic amputation of wrist, hand and fingers"
"S69";"S69";"Other and unspecified injuries of wrist, hand and finger(s)";"S69 Other and unspecified injuries of wrist, hand and finger(s)"
"S70";"S70";"Superficial injury of hip and thigh";"S70 Superficial injury of hip and thigh"
"S71";"S71";"Open wound of hip and thigh";"S71 Open wound of hip and thigh"
"S72";"S72";"Fracture of femur";"S72 Fracture of femur"
"S73";"S73";"Dislocation and sprain of joint and ligaments of hip";"S73 Dislocation and sprain of joint and ligaments of hip"
"S74";"S74";"Injury of nerves at hip and thigh level";"S74 Injury of nerves at hip and thigh level"
"S75";"S75";"Injury of blood vessels at hip and thigh level";"S75 Injury of blood vessels at hip and thigh level"
"S76";"S76";"Injury of muscle, fascia and tendon at hip and thigh level";"S76 Injury of muscle, fascia and tendon at hip and thigh level"
"S77";"S77";"Crushing injury of hip and thigh";"S77 Crushing injury of hip and thigh"
"S78";"S78";"Traumatic amputation of hip and thigh";"S78 Traumatic amputation of hip and thigh"
"S79";"S79";"Other and unspecified injuries of hip and thigh";"S79 Other and unspecified injuries of hip and thigh"
"S80";"S80";"Superficial injury of knee and lower leg";"S80 Superficial injury of knee and lower leg"
"S81";"S81";"Open wound of knee and lower leg";"S81 Open wound of knee and lower leg"
"S82";"S82";"Fracture of lower leg, including ankle";"S82 Fracture of lower leg, including ankle"
"S83";"S83";"Dislocation and sprain of joints and ligaments of knee";"S83 Dislocation and sprain of joints and ligaments of knee"
"S84";"S84";"Injury of nerves at lower leg level";"S84 Injury of nerves at lower leg level"
"S85";"S85";"Injury of blood vessels at lower leg level";"S85 Injury of blood vessels at lower leg level"
"S86";"S86";"Injury of muscle, fascia and tendon at lower leg level";"S86 Injury of muscle, fascia and tendon at lower leg level"
"S87";"S87";"Crushing injury of lower leg";"S87 Crushing injury of lower leg"
"S88";"S88";"Traumatic amputation of lower leg";"S88 Traumatic amputation of lower leg"
"S89";"S89";"Other and unspecified injuries of lower leg";"S89 Other and unspecified injuries of lower leg"
"S90";"S90";"Superficial injury of ankle, foot and toes";"S90 Superficial injury of ankle, foot and toes"
"S91";"S91";"Open wound of ankle, foot and toes";"S91 Open wound of ankle, foot and toes"
"S92";"S92";"Fracture of foot and toe, except ankle";"S92 Fracture of foot and toe, except ankle"
"S93";"S93";"Disloc & sprain of joints & ligaments at ankl, ft & toe lev";"S93 Disloc & sprain of joints & ligaments at ankl, ft & toe lev"
"S94";"S94";"Injury of nerves at ankle and foot level";"S94 Injury of nerves at ankle and foot level"
"S95";"S95";"Injury of blood vessels at ankle and foot level";"S95 Injury of blood vessels at ankle and foot level"
"S96";"S96";"Injury of muscle and tendon at ankle and foot level";"S96 Injury of muscle and tendon at ankle and foot level"
"S97";"S97";"Crushing injury of ankle and foot";"S97 Crushing injury of ankle and foot"
"S98";"S98";"Traumatic amputation of ankle and foot";"S98 Traumatic amputation of ankle and foot"
"S99";"S99";"Other and unspecified injuries of ankle and foot";"S99 Other and unspecified injuries of ankle and foot"
"T07";"T07";"Unspecified multiple injuries";"T07 Unspecified multiple injuries"
"T14";"T14";"Injury of unspecified body region";"T14 Injury of unspecified body region"
"T15";"T15";"Foreign body on external eye";"T15 Foreign body on external eye"
